id,category,text,sentiment
1,App Review,Love this app! Super easy to use and payment process. Used it 5 times.,Positive
2,App Review,Perfect! UI design works flawlessly,Positive
3,App Review,Love this app! Super easy to use and UI design. Used it 17 times.,Positive
4,App Review,Perfect! customer support works flawlessly,Positive
5,App Review,Best app ever! The data backup feature is amazing Perfect! payment process works flawlessly,Positive
6,App Review,Best app ever! The search function feature is amazing,Positive
7,App Review,Best app ever! The notifications feature is amazing. Used it 13 times.,Positive
8,App Review,5 stars! This app changed my life with its notifications,Positive
9,App Review,Fantastic app. The UI is beautiful and UI design,Positive
10,App Review,Love this app! Super easy to use and payment process Perfect! notifications works flawlessly,Positive
11,App Review,Love this app! Super easy to use and customer support,Positive
12,App Review,Best app ever! The UI design feature is amazing,Positive
13,App Review,5 stars! This app changed my life with its speed performance 5 stars! This app changed my life with its notifications. Used it 9 times.,Positive
14,App Review,Perfect! speed performance works flawlessly,Positive
15,App Review,Best app ever! The data backup feature is amazing,Positive
16,App Review,5 stars! This app changed my life with its login system. Used it 2 times.,Positive
17,App Review,Fantastic app. The UI is beautiful and payment process Love this app! Super easy to use and customer support,Positive
18,App Review,Best app ever! The data backup feature is amazing Fantastic app. The UI is beautiful and data backup. Used it 5 times.,Positive
19,App Review,Perfect! payment process works flawlessly,Positive
20,App Review,Perfect! search function works flawlessly 5 stars! This app changed my life with its customer support,Positive
21,App Review,Perfect! data backup works flawlessly. Used it 2 times.,Positive
22,App Review,Best app ever! The speed performance feature is amazing,Positive
23,App Review,Perfect! UI design works flawlessly Fantastic app. The UI is beautiful and search function,Positive
24,App Review,Perfect! payment process works flawlessly Perfect! login system works flawlessly,Positive
25,App Review,Perfect! payment process works flawlessly,Positive
26,App Review,Love this app! Super easy to use and payment process Fantastic app. The UI is beautiful and speed performance,Positive
27,App Review,Perfect! speed performance works flawlessly Perfect! UI design works flawlessly,Positive
28,App Review,Perfect! customer support works flawlessly Best app ever! The notifications feature is amazing,Positive
29,App Review,Perfect! notifications works flawlessly,Positive
30,App Review,5 stars! This app changed my life with its payment process. Used it 8 times.,Positive
31,App Review,Love this app! Super easy to use and data backup,Positive
32,App Review,Best app ever! The data backup feature is amazing,Positive
33,App Review,5 stars! This app changed my life with its search function,Positive
34,App Review,5 stars! This app changed my life with its search function,Positive
35,App Review,Fantastic app. The UI is beautiful and data backup Love this app! Super easy to use and customer support. Used it 11 times.,Positive
36,App Review,Perfect! customer support works flawlessly,Positive
37,App Review,Love this app! Super easy to use and login system. Used it 29 times.,Positive
38,App Review,5 stars! This app changed my life with its UI design,Positive
39,App Review,Fantastic app. The UI is beautiful and customer support Perfect! speed performance works flawlessly,Positive
40,App Review,Best app ever! The data backup feature is amazing Fantastic app. The UI is beautiful and customer support. Used it 22 times.,Positive
41,App Review,5 stars! This app changed my life with its search function Fantastic app. The UI is beautiful and data backup,Positive
42,App Review,Love this app! Super easy to use and login system,Positive
43,App Review,Love this app! Super easy to use and customer support Best app ever! The customer support feature is amazing,Positive
44,App Review,Fantastic app. The UI is beautiful and speed performance. Used it 8 times.,Positive
45,App Review,Fantastic app. The UI is beautiful and UI design. Used it 18 times.,Positive
46,App Review,Love this app! Super easy to use and customer support. Used it 16 times.,Positive
47,App Review,Best app ever! The search function feature is amazing Love this app! Super easy to use and speed performance,Positive
48,App Review,5 stars! This app changed my life with its data backup 5 stars! This app changed my life with its search function,Positive
49,App Review,Best app ever! The customer support feature is amazing 5 stars! This app changed my life with its customer support,Positive
50,App Review,5 stars! This app changed my life with its login system. Used it 16 times.,Positive
51,App Review,Love this app! Super easy to use and UI design,Positive
52,App Review,Perfect! UI design works flawlessly,Positive
53,App Review,Fantastic app. The UI is beautiful and UI design,Positive
54,App Review,Perfect! login system works flawlessly,Positive
55,App Review,Perfect! notifications works flawlessly 5 stars! This app changed my life with its customer support,Positive
56,App Review,Best app ever! The payment process feature is amazing Fantastic app. The UI is beautiful and speed performance,Positive
57,App Review,Fantastic app. The UI is beautiful and notifications Love this app! Super easy to use and login system,Positive
58,App Review,Love this app! Super easy to use and customer support,Positive
59,App Review,5 stars! This app changed my life with its UI design,Positive
60,App Review,5 stars! This app changed my life with its speed performance Fantastic app. The UI is beautiful and payment process,Positive
61,App Review,Perfect! payment process works flawlessly,Positive
62,App Review,Best app ever! The payment process feature is amazing. Used it 4 times.,Positive
63,App Review,5 stars! This app changed my life with its payment process,Positive
64,App Review,Best app ever! The payment process feature is amazing Perfect! data backup works flawlessly. Used it 30 times.,Positive
65,App Review,Love this app! Super easy to use and search function,Positive
66,App Review,Love this app! Super easy to use and notifications,Positive
67,App Review,Best app ever! The data backup feature is amazing Perfect! search function works flawlessly,Positive
68,App Review,Love this app! Super easy to use and speed performance,Positive
69,App Review,Perfect! speed performance works flawlessly Fantastic app. The UI is beautiful and speed performance. Used it 12 times.,Positive
70,App Review,5 stars! This app changed my life with its customer support,Positive
71,App Review,5 stars! This app changed my life with its search function,Positive
72,App Review,Best app ever! The speed performance feature is amazing,Positive
73,App Review,Fantastic app. The UI is beautiful and login system. Used it 30 times.,Positive
74,App Review,Fantastic app. The UI is beautiful and customer support 5 stars! This app changed my life with its speed performance,Positive
75,App Review,Fantastic app. The UI is beautiful and login system,Positive
76,App Review,Best app ever! The data backup feature is amazing,Positive
77,App Review,Best app ever! The login system feature is amazing,Positive
78,App Review,5 stars! This app changed my life with its payment process Love this app! Super easy to use and payment process,Positive
79,App Review,Perfect! notifications works flawlessly Love this app! Super easy to use and UI design,Positive
80,App Review,Best app ever! The payment process feature is amazing Love this app! Super easy to use and UI design,Positive
81,App Review,5 stars! This app changed my life with its search function Perfect! UI design works flawlessly,Positive
82,App Review,5 stars! This app changed my life with its login system,Positive
83,App Review,Perfect! customer support works flawlessly,Positive
84,App Review,5 stars! This app changed my life with its notifications,Positive
85,App Review,5 stars! This app changed my life with its payment process,Positive
86,App Review,Fantastic app. The UI is beautiful and payment process Perfect! speed performance works flawlessly. Used it 22 times.,Positive
87,App Review,Best app ever! The payment process feature is amazing Fantastic app. The UI is beautiful and login system,Positive
88,App Review,Fantastic app. The UI is beautiful and notifications,Positive
89,App Review,Best app ever! The data backup feature is amazing Best app ever! The UI design feature is amazing. Used it 22 times.,Positive
90,App Review,Love this app! Super easy to use and customer support 5 stars! This app changed my life with its customer support,Positive
91,App Review,Love this app! Super easy to use and login system. Used it 16 times.,Positive
92,App Review,Fantastic app. The UI is beautiful and search function,Positive
93,App Review,Fantastic app. The UI is beautiful and data backup,Positive
94,App Review,Love this app! Super easy to use and UI design,Positive
95,App Review,Best app ever! The data backup feature is amazing. Used it 8 times.,Positive
96,App Review,Fantastic app. The UI is beautiful and speed performance,Positive
97,App Review,Fantastic app. The UI is beautiful and search function Perfect! data backup works flawlessly,Positive
98,App Review,Fantastic app. The UI is beautiful and payment process Best app ever! The payment process feature is amazing,Positive
99,App Review,Best app ever! The payment process feature is amazing Fantastic app. The UI is beautiful and UI design,Positive
100,App Review,5 stars! This app changed my life with its notifications,Positive
101,App Review,Worst app ever! Crashes constantly during speed performance. Used it 23 times.,Negative
102,App Review,Worst app ever! Crashes constantly during UI design,Negative
103,App Review,Don't waste your time. data backup is unusable Horrible experience. The app is slow and login system. Used it 14 times.,Negative
104,App Review,Don't waste your time. login system is unusable Don't waste your time. search function is unusable,Negative
105,App Review,1 star. search function doesn't work at all Horrible experience. The app is slow and customer support,Negative
106,App Review,Horrible experience. The app is slow and data backup Terrible app. search function is completely broken,Negative
107,App Review,Worst app ever! Crashes constantly during data backup Worst app ever! Crashes constantly during login system,Negative
108,App Review,Terrible app. search function is completely broken. Used it 15 times.,Negative
109,App Review,Terrible app. payment process is completely broken,Negative
110,App Review,Horrible experience. The app is slow and notifications,Negative
111,App Review,1 star. search function doesn't work at all 1 star. UI design doesn't work at all,Negative
112,App Review,1 star. customer support doesn't work at all,Negative
113,App Review,Terrible app. customer support is completely broken. Used it 1 times.,Negative
114,App Review,Worst app ever! Crashes constantly during speed performance,Negative
115,App Review,Don't waste your time. customer support is unusable,Negative
116,App Review,1 star. speed performance doesn't work at all Don't waste your time. UI design is unusable,Negative
117,App Review,1 star. UI design doesn't work at all,Negative
118,App Review,Don't waste your time. search function is unusable Horrible experience. The app is slow and customer support. Used it 23 times.,Negative
119,App Review,Terrible app. payment process is completely broken,Negative
120,App Review,Don't waste your time. login system is unusable,Negative
121,App Review,1 star. UI design doesn't work at all Don't waste your time. notifications is unusable. Used it 14 times.,Negative
122,App Review,Terrible app. search function is completely broken 1 star. data backup doesn't work at all,Negative
123,App Review,Worst app ever! Crashes constantly during payment process Don't waste your time. data backup is unusable,Negative
124,App Review,1 star. customer support doesn't work at all Terrible app. payment process is completely broken,Negative
125,App Review,Horrible experience. The app is slow and search function,Negative
126,App Review,1 star. speed performance doesn't work at all Horrible experience. The app is slow and customer support,Negative
127,App Review,1 star. payment process doesn't work at all Don't waste your time. payment process is unusable,Negative
128,App Review,Terrible app. customer support is completely broken,Negative
129,App Review,Don't waste your time. customer support is unusable Horrible experience. The app is slow and data backup,Negative
130,App Review,Terrible app. payment process is completely broken. Used it 23 times.,Negative
131,App Review,1 star. notifications doesn't work at all,Negative
132,App Review,Horrible experience. The app is slow and notifications 1 star. data backup doesn't work at all. Used it 9 times.,Negative
133,App Review,Terrible app. customer support is completely broken,Negative
134,App Review,Worst app ever! Crashes constantly during customer support,Negative
135,App Review,Don't waste your time. payment process is unusable Terrible app. customer support is completely broken. Used it 12 times.,Negative
136,App Review,1 star. login system doesn't work at all,Negative
137,App Review,1 star. login system doesn't work at all,Negative
138,App Review,Worst app ever! Crashes constantly during data backup Terrible app. login system is completely broken,Negative
139,App Review,Horrible experience. The app is slow and data backup 1 star. speed performance doesn't work at all,Negative
140,App Review,Horrible experience. The app is slow and UI design Terrible app. search function is completely broken,Negative
141,App Review,Worst app ever! Crashes constantly during speed performance,Negative
142,App Review,Terrible app. customer support is completely broken Terrible app. search function is completely broken,Negative
143,App Review,Don't waste your time. search function is unusable,Negative
144,App Review,1 star. search function doesn't work at all 1 star. login system doesn't work at all,Negative
145,App Review,Worst app ever! Crashes constantly during customer support. Used it 3 times.,Negative
146,App Review,Worst app ever! Crashes constantly during speed performance,Negative
147,App Review,Terrible app. search function is completely broken,Negative
148,App Review,1 star. login system doesn't work at all Worst app ever! Crashes constantly during payment process,Negative
149,App Review,Terrible app. customer support is completely broken 1 star. customer support doesn't work at all,Negative
150,App Review,Worst app ever! Crashes constantly during payment process,Negative
151,App Review,Terrible app. speed performance is completely broken,Negative
152,App Review,Horrible experience. The app is slow and UI design Horrible experience. The app is slow and payment process,Negative
153,App Review,Don't waste your time. data backup is unusable Horrible experience. The app is slow and UI design,Negative
154,App Review,1 star. payment process doesn't work at all Terrible app. UI design is completely broken. Used it 22 times.,Negative
155,App Review,1 star. login system doesn't work at all,Negative
156,App Review,Horrible experience. The app is slow and data backup,Negative
157,App Review,Don't waste your time. search function is unusable,Negative
158,App Review,Terrible app. data backup is completely broken 1 star. search function doesn't work at all,Negative
159,App Review,Worst app ever! Crashes constantly during notifications,Negative
160,App Review,1 star. search function doesn't work at all Don't waste your time. login system is unusable,Negative
161,App Review,1 star. notifications doesn't work at all Terrible app. search function is completely broken,Negative
162,App Review,Don't waste your time. data backup is unusable,Negative
163,App Review,Don't waste your time. notifications is unusable,Negative
164,App Review,Horrible experience. The app is slow and login system Worst app ever! Crashes constantly during payment process,Negative
165,App Review,Horrible experience. The app is slow and data backup Terrible app. login system is completely broken,Negative
166,App Review,Worst app ever! Crashes constantly during payment process,Negative
167,App Review,Terrible app. customer support is completely broken Terrible app. data backup is completely broken,Negative
168,App Review,Horrible experience. The app is slow and payment process,Negative
169,App Review,Horrible experience. The app is slow and data backup Horrible experience. The app is slow and customer support,Negative
170,App Review,Horrible experience. The app is slow and customer support,Negative
171,App Review,Terrible app. payment process is completely broken,Negative
172,App Review,1 star. payment process doesn't work at all Terrible app. payment process is completely broken,Negative
173,App Review,Worst app ever! Crashes constantly during data backup Don't waste your time. data backup is unusable,Negative
174,App Review,Horrible experience. The app is slow and notifications Worst app ever! Crashes constantly during customer support,Negative
175,App Review,Horrible experience. The app is slow and login system,Negative
176,App Review,Horrible experience. The app is slow and search function Worst app ever! Crashes constantly during data backup,Negative
177,App Review,Don't waste your time. notifications is unusable,Negative
178,App Review,Terrible app. data backup is completely broken Terrible app. speed performance is completely broken,Negative
179,App Review,Terrible app. data backup is completely broken,Negative
180,App Review,1 star. search function doesn't work at all Terrible app. notifications is completely broken,Negative
181,App Review,1 star. data backup doesn't work at all Don't waste your time. login system is unusable,Negative
182,App Review,1 star. customer support doesn't work at all,Negative
183,App Review,Terrible app. UI design is completely broken Horrible experience. The app is slow and speed performance,Negative
184,App Review,Terrible app. notifications is completely broken,Negative
185,App Review,1 star. notifications doesn't work at all Horrible experience. The app is slow and speed performance. Used it 14 times.,Negative
186,App Review,Worst app ever! Crashes constantly during speed performance. Used it 28 times.,Negative
187,App Review,Don't waste your time. customer support is unusable Horrible experience. The app is slow and speed performance. Used it 21 times.,Negative
188,App Review,Horrible experience. The app is slow and payment process Terrible app. data backup is completely broken,Negative
189,App Review,Terrible app. data backup is completely broken,Negative
190,App Review,Horrible experience. The app is slow and payment process Horrible experience. The app is slow and payment process. Used it 13 times.,Negative
191,App Review,Terrible app. customer support is completely broken Horrible experience. The app is slow and notifications,Negative
192,App Review,Terrible app. search function is completely broken 1 star. login system doesn't work at all,Negative
193,App Review,Don't waste your time. data backup is unusable,Negative
194,App Review,Worst app ever! Crashes constantly during notifications Worst app ever! Crashes constantly during customer support,Negative
195,App Review,Terrible app. login system is completely broken,Negative
196,App Review,Terrible app. notifications is completely broken Worst app ever! Crashes constantly during UI design,Negative
197,App Review,Horrible experience. The app is slow and speed performance Worst app ever! Crashes constantly during speed performance,Negative
198,App Review,Don't waste your time. payment process is unusable Worst app ever! Crashes constantly during payment process,Negative
199,App Review,1 star. notifications doesn't work at all Terrible app. data backup is completely broken,Negative
200,App Review,Worst app ever! Crashes constantly during search function,Negative
201,App Review,App works fine. search function is okay App works fine. payment process is okay,Neutral
202,App Review,Average app. payment process functions normally Basic app. search function works,Neutral
203,App Review,App works fine. customer support is okay Okay app. Nothing special about login system,Neutral
204,App Review,Basic app. customer support works App works fine. data backup is okay,Neutral
205,App Review,Okay app. Nothing special about UI design Standard app. Does login system as expected,Neutral
206,App Review,Okay app. Nothing special about UI design App works fine. customer support is okay,Neutral
207,App Review,Okay app. Nothing special about data backup,Neutral
208,App Review,Basic app. speed performance works Okay app. Nothing special about UI design,Neutral
209,App Review,Average app. login system functions normally Average app. customer support functions normally,Neutral
210,App Review,Average app. UI design functions normally,Neutral
211,App Review,Basic app. notifications works App works fine. search function is okay. Used it 4 times.,Neutral
212,App Review,App works fine. customer support is okay Basic app. login system works. Used it 11 times.,Neutral
213,App Review,Standard app. Does customer support as expected. Used it 25 times.,Neutral
214,App Review,Basic app. customer support works,Neutral
215,App Review,Average app. speed performance functions normally,Neutral
216,App Review,Average app. speed performance functions normally,Neutral
217,App Review,Standard app. Does UI design as expected App works fine. speed performance is okay. Used it 26 times.,Neutral
218,App Review,Basic app. notifications works. Used it 9 times.,Neutral
219,App Review,Standard app. Does search function as expected,Neutral
220,App Review,Okay app. Nothing special about data backup,Neutral
221,App Review,Okay app. Nothing special about customer support,Neutral
222,App Review,Basic app. payment process works,Neutral
223,App Review,App works fine. data backup is okay,Neutral
224,App Review,App works fine. data backup is okay Okay app. Nothing special about UI design,Neutral
225,App Review,Basic app. speed performance works App works fine. speed performance is okay. Used it 21 times.,Neutral
226,App Review,Okay app. Nothing special about payment process Okay app. Nothing special about search function. Used it 23 times.,Neutral
227,App Review,Basic app. customer support works,Neutral
228,App Review,Okay app. Nothing special about notifications,Neutral
229,App Review,Okay app. Nothing special about UI design Average app. search function functions normally,Neutral
230,App Review,Average app. speed performance functions normally Okay app. Nothing special about UI design. Used it 3 times.,Neutral
231,App Review,Okay app. Nothing special about UI design,Neutral
232,App Review,Standard app. Does login system as expected Basic app. notifications works,Neutral
233,App Review,Average app. search function functions normally App works fine. payment process is okay,Neutral
234,App Review,App works fine. customer support is okay Standard app. Does data backup as expected. Used it 4 times.,Neutral
235,App Review,Basic app. notifications works App works fine. payment process is okay,Neutral
236,App Review,Basic app. login system works Basic app. payment process works. Used it 9 times.,Neutral
237,App Review,Average app. notifications functions normally App works fine. speed performance is okay,Neutral
238,App Review,App works fine. speed performance is okay App works fine. UI design is okay,Neutral
239,App Review,Okay app. Nothing special about search function,Neutral
240,App Review,Average app. payment process functions normally,Neutral
241,App Review,App works fine. speed performance is okay. Used it 20 times.,Neutral
242,App Review,App works fine. payment process is okay,Neutral
243,App Review,Okay app. Nothing special about data backup Okay app. Nothing special about payment process. Used it 17 times.,Neutral
244,App Review,Average app. search function functions normally. Used it 22 times.,Neutral
245,App Review,Basic app. payment process works App works fine. customer support is okay,Neutral
246,App Review,App works fine. customer support is okay,Neutral
247,App Review,Standard app. Does payment process as expected. Used it 4 times.,Neutral
248,App Review,Okay app. Nothing special about search function. Used it 13 times.,Neutral
249,App Review,Basic app. notifications works. Used it 28 times.,Neutral
250,App Review,Okay app. Nothing special about login system,Neutral
251,App Review,Average app. search function functions normally,Neutral
252,App Review,Average app. UI design functions normally Okay app. Nothing special about login system,Neutral
253,App Review,Basic app. data backup works,Neutral
254,App Review,App works fine. search function is okay App works fine. customer support is okay,Neutral
255,App Review,Basic app. UI design works Okay app. Nothing special about payment process,Neutral
256,App Review,Average app. speed performance functions normally. Used it 21 times.,Neutral
257,App Review,Basic app. customer support works,Neutral
258,App Review,Average app. speed performance functions normally Standard app. Does UI design as expected. Used it 7 times.,Neutral
259,App Review,Basic app. speed performance works,Neutral
260,App Review,Standard app. Does data backup as expected,Neutral
261,App Review,Basic app. notifications works Average app. speed performance functions normally,Neutral
262,App Review,Okay app. Nothing special about payment process Average app. login system functions normally,Neutral
263,App Review,Average app. data backup functions normally,Neutral
264,App Review,Average app. payment process functions normally. Used it 28 times.,Neutral
265,App Review,Basic app. search function works,Neutral
266,App Review,Okay app. Nothing special about customer support,Neutral
267,App Review,Basic app. speed performance works App works fine. data backup is okay. Used it 29 times.,Neutral
268,App Review,App works fine. speed performance is okay App works fine. customer support is okay,Neutral
269,App Review,Basic app. speed performance works Average app. notifications functions normally,Neutral
270,App Review,Okay app. Nothing special about notifications Basic app. login system works,Neutral
271,App Review,App works fine. notifications is okay App works fine. search function is okay. Used it 24 times.,Neutral
272,App Review,Average app. UI design functions normally,Neutral
273,App Review,Average app. payment process functions normally,Neutral
274,App Review,Standard app. Does UI design as expected Average app. search function functions normally,Neutral
275,App Review,Standard app. Does UI design as expected Okay app. Nothing special about notifications. Used it 10 times.,Neutral
276,App Review,Standard app. Does notifications as expected,Neutral
277,App Review,Standard app. Does customer support as expected Standard app. Does speed performance as expected. Used it 28 times.,Neutral
278,App Review,Basic app. login system works,Neutral
279,App Review,Basic app. search function works. Used it 6 times.,Neutral
280,App Review,Okay app. Nothing special about login system,Neutral
281,App Review,Okay app. Nothing special about payment process,Neutral
282,App Review,Standard app. Does customer support as expected Average app. data backup functions normally,Neutral
283,App Review,Average app. data backup functions normally,Neutral
284,App Review,Okay app. Nothing special about search function Standard app. Does customer support as expected,Neutral
285,App Review,Average app. login system functions normally,Neutral
286,App Review,Basic app. UI design works Basic app. UI design works. Used it 25 times.,Neutral
287,App Review,Average app. data backup functions normally,Neutral
288,App Review,Okay app. Nothing special about UI design,Neutral
289,App Review,Okay app. Nothing special about notifications,Neutral
290,App Review,App works fine. search function is okay Basic app. notifications works. Used it 3 times.,Neutral
291,App Review,Standard app. Does login system as expected Average app. UI design functions normally,Neutral
292,App Review,Standard app. Does speed performance as expected App works fine. payment process is okay,Neutral
293,App Review,Standard app. Does data backup as expected Okay app. Nothing special about login system,Neutral
294,App Review,Average app. customer support functions normally,Neutral
295,App Review,App works fine. payment process is okay Standard app. Does payment process as expected. Used it 8 times.,Neutral
296,App Review,Basic app. data backup works App works fine. UI design is okay,Neutral
297,App Review,Basic app. login system works Basic app. customer support works,Neutral
298,App Review,Okay app. Nothing special about login system Basic app. notifications works. Used it 14 times.,Neutral
299,App Review,App works fine. notifications is okay. Used it 17 times.,Neutral
300,App Review,Okay app. Nothing special about data backup. Used it 13 times.,Neutral
301,Hotel Review,5 stars! Best hotel experience with cleanliness 5 stars! Best hotel experience with comfortable beds,Positive
302,Hotel Review,Wonderful hotel. Location perfect and pool area beautiful. Used it 12 times.,Positive
303,Hotel Review,Perfect stay! Loved the location convenience facilities Outstanding! The staff was friendly and breakfast quality,Positive
304,Hotel Review,Outstanding! The staff was friendly and cleanliness. Used it 2 times.,Positive
305,Hotel Review,Amazing hotel! The room was pool area and service excellent,Positive
306,Hotel Review,Wonderful hotel. Location perfect and location convenience beautiful 5 stars! Best hotel experience with cleanliness,Positive
307,Hotel Review,5 stars! Best hotel experience with pool area,Positive
308,Hotel Review,5 stars! Best hotel experience with parking facility. Used it 12 times.,Positive
309,Hotel Review,Outstanding! The staff was friendly and location convenience Outstanding! The staff was friendly and pool area,Positive
310,Hotel Review,Outstanding! The staff was friendly and pool area Wonderful hotel. Location perfect and parking facility beautiful,Positive
311,Hotel Review,Amazing hotel! The room was staff friendliness and service excellent Wonderful hotel. Location perfect and breakfast quality beautiful,Positive
312,Hotel Review,Amazing hotel! The room was comfortable beds and service excellent 5 stars! Best hotel experience with parking facility,Positive
313,Hotel Review,Perfect stay! Loved the location convenience facilities 5 stars! Best hotel experience with location convenience. Used it 28 times.,Positive
314,Hotel Review,Wonderful hotel. Location perfect and staff friendliness beautiful 5 stars! Best hotel experience with cleanliness. Used it 21 times.,Positive
315,Hotel Review,5 stars! Best hotel experience with breakfast quality Amazing hotel! The room was breakfast quality and service excellent,Positive
316,Hotel Review,Amazing hotel! The room was breakfast quality and service excellent Amazing hotel! The room was wifi speed and service excellent,Positive
317,Hotel Review,5 stars! Best hotel experience with staff friendliness Wonderful hotel. Location perfect and cleanliness beautiful,Positive
318,Hotel Review,5 stars! Best hotel experience with pool area Outstanding! The staff was friendly and comfortable beds,Positive
319,Hotel Review,Outstanding! The staff was friendly and pool area 5 stars! Best hotel experience with wifi speed,Positive
320,Hotel Review,Perfect stay! Loved the location convenience facilities,Positive
321,Hotel Review,5 stars! Best hotel experience with parking facility,Positive
322,Hotel Review,Wonderful hotel. Location perfect and parking facility beautiful,Positive
323,Hotel Review,Perfect stay! Loved the comfortable beds facilities Perfect stay! Loved the comfortable beds facilities,Positive
